seed,mode,trans_length,obs_joints,perturb_joints,theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref,kf_err_obs,kf_err_obs_clean,jerk_upper,jerk_lower,div_upper,div_lower,div_hit,div_spared,jerk_spared,div_free
0,independent,40,all,all,0,1.0,0,a person wlowly walked by making the circle,2.0319765314802396e-10,2.0319765314802396e-10,0.2153846153846154,512.9448852539062,1.8489679860067554e-05,0.28659921884536743,2.0319765314802396e-10,2.0319765314802396e-10,506.819091796875,521.7932739257812,0.28317058086395264,0.2915516793727875,0.2866995632648468,0.28449195623397827,503.5953369140625,nan
0,independent,40,all,all,0,1.0,1,a person walks straight forward quickly,1.3746379035062262e-10,1.3746379035062262e-10,0.05641025641025641,168.4912567138672,0.0,0.04912480711936951,1.3746379035062262e-10,1.3746379035062262e-10,165.76022338867188,172.43606567382812,0.0504867322742939,0.04715758189558983,0.04934905841946602,0.04441560059785843,165.19566345214844,nan
0,independent,40,all,all,0,1.0,2,the person is holding his right arm up.,6.857920897829217e-10,6.857920897829217e-10,0.0,67.18157958984375,0.0,0.025661559775471687,6.857920897829217e-10,6.857920897829217e-10,68.23990631103516,65.65287780761719,0.033729393035173416,0.014008031226694584,0.026228001341223717,0.013766332529485226,65.29972076416016,nan
0,independent,40,all,all,0,1.0,3,standing in place then walking forward.,3.386627436818834e-11,3.386627436818834e-11,0.06153846153846154,190.53692626953125,0.0,0.08264134079217911,3.386627436818834e-11,3.386627436818834e-11,188.08688354492188,194.07589721679688,0.08388359099626541,0.08084697276353836,0.08280207216739655,0.07926594465970993,187.80618286132812,nan
0,independent,40,all,all,0,1.0,4,the person was jogging in place.,1.6959596227383855e-10,1.6959596227383855e-10,0.05641025641025641,281.0479431152344,0.0,0.09987275302410126,1.6959596227383855e-10,1.6959596227383855e-10,277.8188781738281,285.7121887207031,0.10003262013196945,0.0996418297290802,0.10058991611003876,0.08481217175722122,265.3946228027344,nan
0,independent,40,all,all,0,1.0,5,user is pointing with left hand in multiple directions,2.5176247198110957e-10,2.5176247198110957e-10,0.010256410256410256,114.89820861816406,3.0581268219975755e-05,0.05103936791419983,2.5176247198110957e-10,2.5176247198110957e-10,120.51374053955078,106.78688049316406,0.06587638705968857,0.029608124867081642,0.05217556282877922,0.027179228141903877,107.42414093017578,nan
0,independent,40,all,all,0,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,6.392920082198827e-10,6.392920082198827e-10,0.0,72.30316162109375,0.0025199942756444216,0.022242052480578423,6.392920082198827e-10,6.392920082198827e-10,72.70429229736328,71.72376251220703,0.023770978674292564,0.02003360353410244,0.022338062524795532,0.020225828513503075,71.84940338134766,nan
0,independent,40,all,all,0,1.0,7,a man is doing jumping jacks.,1.4816495252922834e-10,1.4816495252922834e-10,0.07179487179487179,300.9169921875,0.0,0.14435246586799622,1.4816495252922834e-10,1.4816495252922834e-10,304.48004150390625,295.7702941894531,0.1617502123117447,0.11922243982553482,0.14597630500793457,0.1102520003914833,285.3155822753906,nan
0,independent,40,all,all,0,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,4.793347585518859e-08,4.793347585518859e-08,0.20512820512820512,306.4454650878906,0.0,0.12231951951980591,4.793347585518859e-08,4.793347585518859e-08,298.0541687011719,318.5662536621094,0.12215711921453476,0.12255411595106125,0.12307314574718475,0.10649382323026657,295.5685729980469,nan
0,independent,40,all,all,0,1.0,9,"a person slowly walked backward, and sat on the knee and hands",2.9029632031551955e-09,2.9029632031551955e-09,0.08717948717948718,192.47219848632812,0.0003951242833863944,0.10868684202432632,2.9029632031551955e-09,2.9029632031551955e-09,191.4319305419922,193.97479248046875,0.11831077933311462,0.09478559345006943,0.10939429700374603,0.0938299298286438,189.72579956054688,nan
