seed,mode,trans_length,obs_joints,perturb_joints,theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref,kf_err_obs,kf_err_obs_clean,jerk_upper,jerk_lower,div_upper,div_lower,div_hit,div_spared,jerk_spared,div_free
0,independent,20,all,all,0,1.0,0,a person wlowly walked by making the circle,1.0159882657401198e-10,1.0159882657401198e-10,0.22564102564102564,822.106201171875,0.0,0.2118280529975891,1.0159882657401198e-10,1.0159882657401198e-10,818.0783081054688,827.92431640625,0.20706167817115784,0.21871289610862732,0.21204490959644318,0.20727454125881195,809.4041748046875,nan
0,independent,20,all,all,0,1.0,1,a person walks straight forward quickly,8.566503756357591e-11,8.566503756357591e-11,0.05128205128205128,160.8927001953125,0.0,0.025336533784866333,8.566503756357591e-11,8.566503756357591e-11,159.36288452148438,163.1024169921875,0.02689325623214245,0.023087939247488976,0.02546190470457077,0.022703764960169792,156.0238800048828,nan
0,independent,20,all,all,0,1.0,2,the person is holding his right arm up.,8.551808150514262e-10,8.551808150514262e-10,0.0,64.38951110839844,0.0,0.012606600299477577,8.551808150514262e-10,8.551808150514262e-10,65.27960968017578,63.103816986083984,0.014600120484828949,0.009727074764668941,0.012742522172629833,0.009752267971634865,63.209510803222656,nan
0,independent,20,all,all,0,1.0,3,standing in place then walking forward.,3.5982918034083156e-11,3.5982918034083156e-11,0.02564102564102564,186.31288146972656,0.0,0.036070894449949265,3.5982918034083156e-11,3.5982918034083156e-11,184.35226440429688,189.14483642578125,0.036606378853321075,0.035297416150569916,0.036129407584667206,0.034842029213905334,183.07037353515625,nan
0,independent,20,all,all,0,1.0,4,the person was jogging in place.,2.0332993622140805e-10,2.0332993622140805e-10,0.11282051282051282,361.1648254394531,0.0,0.07869759202003479,2.0332993622140805e-10,2.0332993622140805e-10,361.3191223144531,360.94195556640625,0.07890086621046066,0.07840397953987122,0.07888393849134445,0.07478441298007965,354.88763427734375,nan
0,independent,20,all,all,0,1.0,5,user is pointing with left hand in multiple directions,1.9032087017478716e-10,1.9032087017478716e-10,0.0,144.4258575439453,0.0,0.03699842467904091,1.9032087017478716e-10,1.9032087017478716e-10,149.5387420654297,137.04058837890625,0.04467490315437317,0.025910163298249245,0.037482842803001404,0.02682548575103283,138.04339599609375,nan
0,independent,20,all,all,0,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,5.107390621539309e-10,5.107390621539309e-10,0.0,102.99425506591797,0.002176067093387246,0.02056000381708145,5.107390621539309e-10,5.107390621539309e-10,102.7162857055664,103.39578247070312,0.02068154886364937,0.02038443647325039,0.020620223134756088,0.01929534040391445,103.41192626953125,nan
0,independent,20,all,all,0,1.0,7,a man is doing jumping jacks.,5.312771889087742e-10,5.312771889087742e-10,0.046153846153846156,358.1571350097656,0.0,0.08526628464460373,5.312771889087742e-10,5.312771889087742e-10,360.20391845703125,355.2007751464844,0.09202352911233902,0.0755058154463768,0.08569245040416718,0.07631704956293106,346.0588073730469,nan
0,independent,20,all,all,0,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,2.4136069143310124e-08,2.4136069143310124e-08,0.2153846153846154,516.2820434570312,0.0,0.12880122661590576,2.4136069143310124e-08,2.4136069143310124e-08,512.4553833007812,521.809326171875,0.12858149409294128,0.12911857664585114,0.12894879281520844,0.12570199370384216,507.9549865722656,nan
0,independent,20,all,all,0,1.0,9,"a person slowly walked backward, and sat on the knee and hands",3.178189933450426e-09,3.178189933450426e-09,0.11282051282051282,271.6262512207031,0.000652339484076947,0.06757115572690964,3.178189933450426e-09,3.178189933450426e-09,270.0540771484375,273.8971862792969,0.06770465523004532,0.06737831234931946,0.06776870042085648,0.06342262029647827,266.1492004394531,nan
0,independent,20,all,all,0,1.0,10,a person walks straight going slightly to the left,4.1486186708183936e-10,4.1486186708183936e-10,0.12307692307692308,156.54014587402344,3.854307124129264e-06,0.025676939636468887,4.1486186708183936e-10,4.1486186708183936e-10,152.59120178222656,162.2441864013672,0.025505144149065018,0.02592509426176548,0.0257318876683712,0.02452308125793934,156.00299072265625,nan
0,independent,20,all,all,0,1.0,11,he runs forward directly then stops,6.773254873637669e-11,6.773254873637669e-11,0.1794871794871795,942.8424072265625,0.0,0.24138712882995605,6.773254873637669e-11,6.773254873637669e-11,938.9746704101562,948.4288330078125,0.24194864928722382,0.24057599902153015,0.24151022732257843,0.23880131542682648,935.9981079101562,nan
0,independent,20,all,all,0,1.0,12,person seems to be exercising by bending at the knees and walking forward,1.1853196202338268e-10,1.1853196202338268e-10,0.4205128205128205,992.2651977539062,1.9359536054253113e-06,0.24348358809947968,1.1853196202338268e-10,1.1853196202338268e-10,988.0463256835938,998.3589477539062,0.24363850057125092,0.24325987696647644,0.24389585852622986,0.23482626676559448,977.922607421875,nan
0,independent,20,all,all,0,1.0,13,the man dances his feet in circles in front of himself.,1.2980410080132287e-09,1.2980410080132287e-09,0.6512820512820513,1303.500732421875,0.0005555502139031887,0.34219443798065186,1.2980410080132287e-09,1.2980410080132287e-09,1283.64453125,1332.1822509765625,0.3465321660041809,0.33592885732650757,0.3444085419178009,0.29569894075393677,1272.7239990234375,nan
0,independent,20,all,all,0,1.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,5.632314059589305e-10,5.632314059589305e-10,0.0,96.04576110839844,2.1494259272003546e-05,0.013959509320557117,5.632314059589305e-10,5.632314059589305e-10,96.08213806152344,95.99320220947266,0.01598869077861309,0.011028466746211052,0.014109116047620773,0.01081778109073639,93.37992095947266,nan
0,independent,20,all,all,0,1.0,15,a man takes a big swing with his arm.,2.704145796172952e-09,2.704145796172952e-09,0.38974358974358975,598.442138671875,0.000134778005303815,0.10615699738264084,2.704145796172952e-09,2.704145796172952e-09,609.6869506835938,582.199462890625,0.1115507185459137,0.09836605936288834,0.1070207878947258,0.0880175307393074,545.161865234375,nan
