seed,mode,trans_length,obs_joints,perturb_joints,theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref,kf_err_obs,kf_err_obs_clean,jerk_upper,jerk_lower,div_upper,div_lower,div_hit,div_spared,jerk_spared,div_free
0,independent,10,all,all,0,1.0,0,a person wlowly walked by making the circle,1.2242658442573884e-08,1.2242658442573884e-08,0.3384615384615385,935.54931640625,0.0,0.09765667468309402,1.2242658442573884e-08,1.2242658442573884e-08,929.070068359375,944.9083862304688,0.09688416123390198,0.09877251088619232,0.09783954918384552,0.09381617605686188,918.8717041015625,nan
0,independent,10,all,all,0,1.0,1,a person walks straight forward quickly,8.466569112464128e-11,8.466569112464128e-11,0.18974358974358974,1072.7542724609375,0.0,0.1314758062362671,8.466569112464128e-11,8.466569112464128e-11,1064.00048828125,1085.398681640625,0.13012872636318207,0.13342159986495972,0.13145893812179565,0.13182979822158813,1069.476318359375,nan
0,independent,10,all,all,0,1.0,2,the person is holding his right arm up.,6.747088998615425e-10,6.747088998615425e-10,0.0,71.99409484863281,2.0875613699899986e-05,0.006731797009706497,6.747088998615425e-10,6.747088998615425e-10,73.64604949951172,69.6079330444336,0.007303773891180754,0.005905608180910349,0.006831817328929901,0.004631369840353727,60.099761962890625,nan
0,independent,10,all,all,0,1.0,3,standing in place then walking forward.,5.206939879265349e-10,5.206939879265349e-10,0.30256410256410254,795.2216186523438,0.0,0.08574584871530533,5.206939879265349e-10,5.206939879265349e-10,796.0703125,793.9956665039062,0.0868302583694458,0.08417948335409164,0.08599915355443954,0.0804266706109047,759.2589111328125,nan
0,independent,10,all,all,0,1.0,4,the person was jogging in place.,1.291151768834098e-10,1.291151768834098e-10,0.1794871794871795,684.4407958984375,0.0,0.0851091668009758,1.291151768834098e-10,1.291151768834098e-10,687.0758056640625,680.634521484375,0.08580853044986725,0.08409898728132248,0.08509957045316696,0.08531103283166885,676.9052734375,nan
0,independent,10,all,all,0,1.0,5,user is pointing with left hand in multiple directions,4.710109524630468e-10,4.710109524630468e-10,0.0,107.10385131835938,0.0,0.011944383382797241,4.710109524630468e-10,4.710109524630468e-10,112.03235626220703,99.98487091064453,0.013067464344203472,0.01032215729355812,0.012026521377265453,0.010219505988061428,100.45449829101562,nan
0,independent,10,all,all,0,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,3.3469005344954894e-10,3.3469005344954894e-10,0.0,62.964473724365234,1.4625755966335419e-06,0.005613626912236214,3.3469005344954894e-10,3.3469005344954894e-10,64.62415313720703,60.56717300415039,0.0056749675422906876,0.0055250246077775955,0.005674919579178095,0.0043264878913760185,57.16660690307617,nan
0,independent,10,all,all,0,1.0,7,a man is doing jumping jacks.,3.2293870355637466e-10,3.2293870355637466e-10,0.11282051282051282,588.1553955078125,0.0,0.06464269012212753,3.2293870355637466e-10,3.2293870355637466e-10,585.9805908203125,591.2966918945312,0.0650721862912178,0.06402233242988586,0.06477127969264984,0.06194238364696503,565.6630249023438,nan
0,independent,10,all,all,0,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,4.4872813798058075e-10,4.4872813798058075e-10,0.38974358974358975,976.182861328125,7.330535026994767e-06,0.10553263872861862,4.4872813798058075e-10,4.4872813798058075e-10,978.6541748046875,972.6133422851562,0.10665798932313919,0.10390713065862656,0.10572844743728638,0.10142073035240173,964.9017944335938,nan
0,independent,10,all,all,0,1.0,9,"a person slowly walked backward, and sat on the knee and hands",4.410276144284353e-09,4.410276144284353e-09,0.14871794871794872,335.1962890625,0.003981461748480797,0.039860256016254425,4.410276144284353e-09,4.410276144284353e-09,334.521484375,336.1710510253906,0.04115552827715874,0.0379893034696579,0.03997684270143509,0.0374118909239769,310.0854187011719,nan
0,independent,10,all,all,0,1.0,10,a person walks straight going slightly to the left,2.1698877417097862e-10,2.1698877417097862e-10,0.2358974358974359,582.6866455078125,0.0001861942873802036,0.07303541898727417,2.1698877417097862e-10,2.1698877417097862e-10,583.0238647460938,582.199462890625,0.07186032831668854,0.07473275810480118,0.07305792719125748,0.07256262749433517,585.6578979492188,nan
0,independent,10,all,all,0,1.0,11,he runs forward directly then stops,1.2077560285206346e-08,1.2077560285206346e-08,0.6,4234.849609375,0.0,0.5064753890037537,1.2077560285206346e-08,1.2077560285206346e-08,4217.8115234375,4259.4609375,0.5047288537025452,0.508998453617096,0.5063484907150269,0.509141206741333,4224.04931640625,nan
0,independent,10,all,all,0,1.0,12,person seems to be exercising by bending at the knees and walking forward,2.285973632609739e-10,2.285973632609739e-10,0.41025641025641024,1028.486083984375,6.463703903136775e-05,0.11133585125207901,2.285973632609739e-10,2.285973632609739e-10,1022.6072387695312,1036.977783203125,0.11014976352453232,0.11304911226034164,0.11147952079772949,0.10831889510154724,1012.3196411132812,nan
0,independent,10,all,all,0,1.0,13,the man dances his feet in circles in front of himself.,1.2792206183220856e-09,1.2792206183220856e-09,0.5487179487179488,1468.0574951171875,0.00021835595543961972,0.16363075375556946,1.2792206183220856e-09,1.2792206183220856e-09,1462.5811767578125,1475.96728515625,0.1609497368335724,0.16750335693359375,0.16399723291397095,0.15593457221984863,1435.848388671875,nan
0,independent,10,all,all,0,1.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,5.939861380532818e-10,5.939861380532818e-10,0.0,52.95166778564453,1.4625755966335419e-06,0.005185886286199093,5.939861380532818e-10,5.939861380532818e-10,53.78663635253906,51.745601654052734,0.005511037539690733,0.004716223105788231,0.00523256603628397,0.004205605015158653,48.4251594543457,nan
0,independent,10,all,all,0,1.0,15,a man takes a big swing with his arm.,4.114036666891252e-09,4.114036666891252e-09,0.3128205128205128,900.8192138671875,0.00010328312055207789,0.111247219145298,4.114036666891252e-09,4.114036666891252e-09,962.163818359375,812.2106323242188,0.10533604770898819,0.11978556215763092,0.11349030584096909,0.06414206326007843,594.9879150390625,nan
0,independent,10,all,all,0,0.0,0,a person wlowly walked by making the circle,0.10927911847829819,0.10927911847829819,0.13333333333333333,326.6556701660156,5.986484666209435e-06,0.1119673103094101,0.10927911847829819,0.10927911847829819,317.708251953125,339.57965087890625,0.11044759303331375,0.11416248232126236,0.11204750090837479,0.1102832555770874,312.06109619140625,nan
0,independent,10,all,all,0,0.0,1,a person walks straight forward quickly,0.1432160884141922,0.1432160884141922,0.08717948717948718,168.92604064941406,0.0,0.14912140369415283,0.1432160884141922,0.1432160884141922,162.69309997558594,177.92916870117188,0.14763790369033813,0.15126420557498932,0.14909394085407257,0.14969824254512787,162.1187286376953,nan
0,independent,10,all,all,0,0.0,2,the person is holding his right arm up.,0.006837354972958565,0.006837354972958565,0.0,35.795352935791016,1.0484354788786732e-05,0.007197168655693531,0.006837354972958565,0.006837354972958565,36.41400146484375,34.9017448425293,0.007776471320539713,0.00636039674282074,0.007281711790710688,0.005421753041446209,34.82295227050781,nan
0,independent,10,all,all,0,0.0,3,standing in place then walking forward.,0.08937759697437286,0.08937759697437286,0.1282051282051282,269.4216613769531,0.0,0.08621441572904587,0.08937759697437286,0.08937759697437286,265.910400390625,274.4935302734375,0.08726444095373154,0.08469770103693008,0.08631601929664612,0.0840805321931839,261.62677001953125,nan
0,independent,10,all,all,0,0.0,4,the person was jogging in place.,0.07858334481716156,0.07858334481716156,0.06666666666666667,179.67713928222656,0.0,0.08575771749019623,0.07858334481716156,0.07858334481716156,181.59625244140625,176.90505981445312,0.08688764274120331,0.08412563055753708,0.08577823638916016,0.08532717823982239,170.2249298095703,nan
0,independent,10,all,all,0,0.0,5,user is pointing with left hand in multiple directions,0.01168660819530487,0.01168660819530487,0.0,45.69889450073242,0.0,0.01292383298277855,0.01168660819530487,0.01168660819530487,46.923465728759766,43.93008041381836,0.01420745812356472,0.011069711297750473,0.01300012692809105,0.011321661062538624,43.232215881347656,nan
0,independent,10,all,all,0,0.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.0055458457209169865,0.0055458457209169865,0.0,40.0548095703125,0.0,0.005687539465725422,0.0055458457209169865,0.0055458457209169865,40.92826461791992,38.79314041137695,0.005852238275110722,0.0054496414959430695,0.005745932459831238,0.004461297765374184,39.49235916137695,nan
0,independent,10,all,all,0,0.0,7,a man is doing jumping jacks.,0.0760454460978508,0.0760454460978508,0.03076923076923077,270.2304382324219,0.0,0.08117978274822235,0.0760454460978508,0.0760454460978508,267.34539794921875,274.39776611328125,0.0817444697022438,0.08036412298679352,0.08132987469434738,0.07802797108888626,241.27891540527344,nan
0,independent,10,all,all,0,0.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.10834849625825882,0.10834849625825882,0.24615384615384617,361.270263671875,1.7445458070142195e-05,0.11476130038499832,0.10834849625825882,0.10834849625825882,353.8986511230469,371.918212890625,0.11593278497457504,0.11306914687156677,0.11491723358631134,0.11148659139871597,351.7054443359375,nan
0,independent,10,all,all,0,0.0,9,"a person slowly walked backward, and sat on the knee and hands",0.04204357787966728,0.04204357787966728,0.046153846153846156,86.66968536376953,0.0033385050483047962,0.04116050526499748,0.04204357787966728,0.04204357787966728,85.23130798339844,88.74734497070312,0.04175838455557823,0.040296901017427444,0.04125497490167618,0.03917667642235756,84.23442840576172,nan
0,independent,10,all,all,0,0.0,10,a person walks straight going slightly to the left,0.07931945472955704,0.07931945472955704,0.11794871794871795,115.26547241210938,0.00015135369903873652,0.08297199755907059,0.07931945472955704,0.07931945472955704,112.02729797363281,119.94284057617188,0.08194754272699356,0.08445175737142563,0.08298195898532867,0.08276253938674927,113.019287109375,nan
0,independent,10,all,all,0,0.0,11,he runs forward directly then stops,0.5508298277854919,0.5508298277854919,0.5435897435897435,644.2278442382812,0.0,0.5656180381774902,0.5508298277854919,0.5508298277854919,636.6267700195312,655.2073974609375,0.5638827681541443,0.5681246519088745,0.5654284358024597,0.5696008801460266,621.3505249023438,nan
0,independent,10,all,all,0,0.0,12,person seems to be exercising by bending at the knees and walking forward,0.12698519229888916,0.12698519229888916,0.28205128205128205,326.38262939453125,2.4602064513601363e-05,0.1298503428697586,0.12698519229888916,0.12698519229888916,318.4364318847656,337.8605041503906,0.12866611778736115,0.13156089186668396,0.12983888387680054,0.13009081780910492,314.4029541015625,nan
0,independent,10,all,all,0,0.0,13,the man dances his feet in circles in front of himself.,0.16774135828018188,0.16774135828018188,0.4717948717948718,566.674072265625,0.00019707871251739562,0.177141010761261,0.16774135828018188,0.16774135828018188,550.5047607421875,590.0296630859375,0.1734972894191742,0.18240414559841156,0.17743074893951416,0.17105631530284882,539.3564453125,nan
0,independent,10,all,all,0,0.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.005154369864612818,0.005154369864612818,0.0,25.558399200439453,0.0,0.0053764693439006805,0.005154369864612818,0.005154369864612818,26.196086883544922,24.63729476928711,0.005689779296517372,0.004923912230879068,0.005415925290435553,0.004547916352748871,24.906536102294922,nan
0,independent,10,all,all,0,0.0,15,a man takes a big swing with his arm.,0.11842774599790573,0.11842774599790573,0.13333333333333333,272.7655334472656,0.00013371289242058992,0.10857488214969635,0.11842774599790573,0.11842774599790573,276.39111328125,267.5286560058594,0.10258609801530838,0.11722537130117416,0.1102052554488182,0.07433733344078064,257.07574462890625,nan
0,independent,10,all,all,10,1.0,0,a person wlowly walked by making the circle,1.2386590420021548e-08,0.08331760764122009,0.3333333333333333,1396.8907470703125,2.9197153708082624e-06,0.17085997760295868,1.2386590420021548e-08,0.08331760764122009,1361.795654296875,1447.58349609375,0.17573396861553192,0.16381977498531342,0.17157785594463348,0.15578415989875793,1358.9549560546875,nan
0,independent,10,all,all,10,1.0,1,a person walks straight forward quickly,1.7779794303507401e-10,0.07838623225688934,0.3128205128205128,1242.85498046875,9.95241935015656e-05,0.1665107011795044,1.7779794303507401e-10,0.07838623225688934,1215.76708984375,1281.9818115234375,0.16518838703632355,0.1684207171201706,0.167265385389328,0.1506623774766922,1199.284912109375,nan
0,independent,10,all,all,10,1.0,2,the person is holding his right arm up.,1.4464583975026812e-09,0.08205784857273102,0.3076923076923077,479.1052551269531,0.00032419722992926836,0.060994695872068405,1.4464583975026812e-09,0.08205784857273102,442.0245056152344,532.6663818359375,0.05540846660733223,0.069063700735569,0.062090229243040085,0.03798852115869522,346.0169982910156,nan
0,independent,10,all,all,10,1.0,3,standing in place then walking forward.,6.063538560141524e-10,0.0787399411201477,0.46153846153846156,953.8648071289062,7.685338641749695e-05,0.1269778609275818,6.063538560141524e-10,0.0787399411201477,953.68994140625,954.1177368164062,0.12130212783813477,0.1351761519908905,0.1284160017967224,0.09677722305059433,884.215576171875,nan
0,independent,10,all,all,10,1.0,4,the person was jogging in place.,6.676043606823612e-10,0.0820675641298294,0.2153846153846154,834.692626953125,1.57705221681681e-06,0.11965736001729965,6.676043606823612e-10,0.0820675641298294,827.5436401367188,845.01904296875,0.11836268752813339,0.12152744084596634,0.12079708278179169,0.09572309255599976,790.1070556640625,nan
0,independent,10,all,all,10,1.0,5,user is pointing with left hand in multiple directions,7.454011852203735e-10,0.08264487981796265,0.3487179487179487,532.2369995117188,0.00028469596873037517,0.07970940321683884,7.454011852203735e-10,0.08264487981796265,502.914794921875,574.5911254882812,0.0838237777352333,0.07376641780138016,0.08105909079313278,0.0513661652803421,437.69830322265625,nan
0,independent,10,all,all,10,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,1.1230745222690075e-09,0.07454463094472885,0.24102564102564103,517.6483764648438,0.0010141580132767558,0.06884247809648514,1.1230745222690075e-09,0.07454463094472885,470.12664794921875,586.2908935546875,0.07230564206838608,0.06384012848138809,0.06978875398635864,0.04897061735391617,410.478515625,nan
0,independent,10,all,all,10,1.0,7,a man is doing jumping jacks.,9.395304534365323e-10,0.08382756263017654,0.14871794871794872,891.483154296875,6.43552266410552e-05,0.11083263903856277,9.395304534365323e-10,0.08382756263017654,882.0994262695312,905.0375366210938,0.10794172435998917,0.1150083914399147,0.11187224835157394,0.08900058269500732,790.1126708984375,nan
0,independent,10,all,all,10,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,1.1181141568172848e-09,0.08321422338485718,0.4,1205.629638671875,0.0003310681495349854,0.14293204247951508,1.1181141568172848e-09,0.08321422338485718,1187.5875244140625,1231.690673828125,0.14135193824768066,0.14521442353725433,0.14367793500423431,0.127268448472023,1122.214599609375,nan
0,independent,10,all,all,10,1.0,9,"a person slowly walked backward, and sat on the knee and hands",4.47094228306355e-09,0.07079369574785233,0.22564102564102564,513.8967895507812,0.0063947513699531555,0.07977685332298279,4.47094228306355e-09,0.07079369574785233,495.9267272949219,539.8535766601562,0.08540777862071991,0.07164330780506134,0.08117058873176575,0.050508514046669006,430.7977294921875,nan
0,independent,10,all,all,10,1.0,10,a person walks straight going slightly to the left,5.92489779460692e-10,0.0758933573961258,0.26153846153846155,639.7256469726562,0.00039568953798152506,0.09349004179239273,5.92489779460692e-10,0.0758933573961258,628.21337890625,656.3543701171875,0.09092236310243607,0.09719890356063843,0.09472862631082535,0.06747952848672867,576.9418334960938,nan
0,independent,10,all,all,10,1.0,11,he runs forward directly then stops,1.2056394105286472e-08,0.08478949218988419,0.6410256410256411,4314.66455078125,0.00013217651576269418,0.5238378643989563,1.2056394105286472e-08,0.08478949218988419,4297.82470703125,4338.98828125,0.5181401968002319,0.5320677757263184,0.5240844488143921,0.5186581015586853,4291.82373046875,nan
0,independent,10,all,all,10,1.0,12,person seems to be exercising by bending at the knees and walking forward,2.0319765314802396e-10,0.07911460846662521,0.38974358974358975,1279.7435302734375,0.0002653743722476065,0.1539444774389267,2.0319765314802396e-10,0.07911460846662521,1266.619873046875,1298.6998291015625,0.14893661439418793,0.16117805242538452,0.15469196438789368,0.13824734091758728,1234.9176025390625,nan
0,independent,10,all,all,10,1.0,13,the man dances his feet in circles in front of himself.,1.683596373425189e-09,0.07740439474582672,0.5333333333333333,1680.4227294921875,0.0005578561685979366,0.200208380818367,1.683596373425189e-09,0.07740439474582672,1663.5426025390625,1704.80517578125,0.1878628134727478,0.21804091334342957,0.20114795863628387,0.18047785758972168,1602.849365234375,nan
0,independent,10,all,all,10,1.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,1.2438939878123279e-09,0.0853722020983696,0.26153846153846155,417.3820495605469,0.000423410878283903,0.054391320794820786,1.2438939878123279e-09,0.0853722020983696,355.9627990722656,506.0986633300781,0.05486694723367691,0.05370430648326874,0.05585072562098503,0.023743703961372375,243.27151489257812,nan
0,independent,10,all,all,10,1.0,15,a man takes a big swing with his arm.,3.1878859552136873e-09,0.08573673665523529,0.5435897435897435,1073.49462890625,0.0004505020915530622,0.13752195239067078,3.1878859552136873e-09,0.08573673665523529,1099.9615478515625,1035.2647705078125,0.1282469779253006,0.1509191393852234,0.14034396409988403,0.07825994491577148,715.6426391601562,nan
0,independent,10,all,all,10,0.0,0,a person wlowly walked by making the circle,0.19241644442081451,0.1952473372220993,0.19487179487179487,371.7567138671875,0.0,0.20103779435157776,0.19241644442081451,0.1952473372220993,362.9638671875,384.4575500488281,0.2078988254070282,0.19112740457057953,0.20135945081710815,0.19428303837776184,355.6878662109375,nan
0,independent,10,all,all,10,0.0,1,a person walks straight forward quickly,0.17298594117164612,0.17857125401496887,0.11282051282051282,194.44874572753906,7.687913603149354e-05,0.17978645861148834,0.17298594117164612,0.17857125401496887,186.20237731933594,206.36019897460938,0.17895479500293732,0.18098773062229156,0.18015064299106598,0.17213816940784454,185.43519592285156,nan
0,independent,10,all,all,10,0.0,2,the person is holding his right arm up.,0.06945212185382843,0.0649624615907669,0.15384615384615385,73.66705322265625,1.9729479390662163e-05,0.060939472168684006,0.06945212185382843,0.0649624615907669,72.23829650878906,75.73081970214844,0.056624654680490494,0.06717198342084885,0.06171950697898865,0.044558729976415634,68.47268676757812,nan
0,independent,10,all,all,10,0.0,3,standing in place then walking forward.,0.11214429885149002,0.1307176649570465,0.26153846153846155,324.80364990234375,0.0,0.12797340750694275,0.11214429885149002,0.1307176649570465,321.2563171386719,329.9276428222656,0.12144001573324203,0.13741055130958557,0.1291274130344391,0.103739894926548,313.34112548828125,nan
0,independent,10,all,all,10,0.0,4,the person was jogging in place.,0.11707580089569092,0.13280656933784485,0.09743589743589744,203.9351348876953,0.0,0.13505640625953674,0.11707580089569092,0.13280656933784485,200.71722412109375,208.58322143554688,0.13466890156269073,0.13561615347862244,0.13587088882923126,0.11795230954885483,190.5572967529297,nan
