theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref
0,1.0,0,a person wlowly walked by making the circle,1.2125183523892247e-08,1.2125183523892247e-08,0.3230769230769231,1145.5986328125,0.0,0.14092087745666504
0,1.0,1,a person walks straight forward quickly,7.66987931499763e-11,7.66987931499763e-11,0.046153846153846156,183.18392944335938,0.0,0.015475570224225521
0,1.0,2,the person is holding his right arm up.,8.552062391586901e-10,8.552062391586901e-10,0.0,80.43815612792969,0.0,0.00961911678314209
0,1.0,3,standing in place then walking forward.,5.185773338522992e-11,5.185773338522992e-11,0.015384615384615385,169.5377655029297,0.0,0.020181281492114067
0,1.0,4,the person was jogging in place.,1.8209737884244959e-10,1.8209737884244959e-10,0.12307692307692308,413.4149475097656,5.438125754153589e-06,0.04612850397825241
0,1.0,5,user is pointing with left hand in multiple directions,3.097883616298702e-10,3.097883616298702e-10,0.0,118.16080474853516,0.0,0.013795803301036358
0,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,6.533147911547132e-10,6.533147911547132e-10,0.0,128.03231811523438,0.0022360216826200485,0.01353680994361639
0,1.0,7,a man is doing jumping jacks.,4.1168690678716757e-10,4.1168690678716757e-10,0.11282051282051282,449.9596252441406,0.0,0.05013446882367134
0,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,1.235166458002368e-08,1.235166458002368e-08,0.2564102564102564,605.8251953125,0.0,0.07046259939670563
0,1.0,9,"a person slowly walked backward, and sat on the knee and hands",2.654588326933549e-09,2.654588326933549e-09,0.14358974358974358,342.43426513671875,0.0018087768694385886,0.04463006183505058
0,1.0,10,a person walks straight going slightly to the left,3.8311223637954583e-10,3.8311223637954583e-10,0.1641025641025641,217.30990600585938,1.3502979527402204e-05,0.02336639165878296
0,1.0,11,he runs forward directly then stops,5.079941328700599e-11,5.079941328700599e-11,0.2717948717948718,1537.447265625,0.0,0.18674086034297943
0,1.0,12,person seems to be exercising by bending at the knees and walking forward,5.67260127759539e-10,5.67260127759539e-10,0.5641025641025641,887.6397705078125,7.219692633952945e-05,0.10105879604816437
0,1.0,13,the man dances his feet in circles in front of himself.,1.76519199257541e-09,1.76519199257541e-09,0.7538461538461538,1760.099609375,0.0002845539420377463,0.21998251974582672
0,1.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,5.497503008378146e-10,5.497503008378146e-10,0.0,128.08604431152344,2.7697969926521182e-05,0.012881739996373653
0,1.0,15,a man takes a big swing with his arm.,2.530861076266433e-09,2.530861076266433e-09,0.49743589743589745,837.7376708984375,0.00021834416838828474,0.08715059608221054
0,0.5,0,a person wlowly walked by making the circle,0.07440183311700821,0.07440183311700821,0.2923076923076923,691.063720703125,0.0,0.14862346649169922
0,0.5,1,a person walks straight forward quickly,0.009361539967358112,0.009361539967358112,0.05128205128205128,135.76248168945312,0.0,0.016881754621863365
0,0.5,2,the person is holding his right arm up.,0.0041703106835484505,0.0041703106835484505,0.0,63.086891174316406,0.0,0.011060629971325397
0,0.5,3,standing in place then walking forward.,0.010639648884534836,0.010639648884534836,0.010256410256410256,99.28535461425781,0.0,0.02063697762787342
0,0.5,4,the person was jogging in place.,0.019862394779920578,0.019862394779920578,0.05641025641025641,272.51312255859375,3.188930350006558e-05,0.044459279626607895
0,0.5,5,user is pointing with left hand in multiple directions,0.006470783147960901,0.006470783147960901,0.0,86.14878845214844,0.0,0.015163681469857693
0,0.5,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.007169204298406839,0.007169204298406839,0.0,81.32867431640625,0.0022662770934402943,0.013597344979643822
0,0.5,7,a man is doing jumping jacks.,0.02664973959326744,0.02664973959326744,0.035897435897435895,299.83984375,0.0,0.054888829588890076
0,0.5,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.036078326404094696,0.036078326404094696,0.20512820512820512,397.8543395996094,0.0,0.0745544508099556
0,0.5,9,"a person slowly walked backward, and sat on the knee and hands",0.0223454087972641,0.0223454087972641,0.08717948717948718,217.07513427734375,0.0016684631118550897,0.048646654933691025
0,0.5,10,a person walks straight going slightly to the left,0.013106057420372963,0.013106057420372963,0.09743589743589744,155.0982208251953,2.442403001623461e-06,0.02798105776309967
0,0.5,11,he runs forward directly then stops,0.10344542562961578,0.10344542562961578,0.2512820512820513,927.9868774414062,0.0,0.20603351294994354
0,0.5,12,person seems to be exercising by bending at the knees and walking forward,0.05198351666331291,0.05198351666331291,0.5230769230769231,648.8724365234375,0.00010573926556389779,0.11697465926408768
0,0.5,13,the man dances his feet in circles in front of himself.,0.1339239776134491,0.1339239776134491,0.764102564102564,1179.592529296875,0.00020397899788804352,0.2673799693584442
0,0.5,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.00641976110637188,0.00641976110637188,0.0,88.04718780517578,3.741113323485479e-05,0.013312535360455513
0,0.5,15,a man takes a big swing with his arm.,0.03976744785904884,0.03976744785904884,0.4256410256410256,594.0410766601562,7.863606879254803e-05,0.08748708665370941
0,0.2,0,a person wlowly walked by making the circle,0.11824872344732285,0.11824872344732285,0.24102564102564103,404.2456359863281,0.0,0.15175437927246094
0,0.2,1,a person walks straight forward quickly,0.013686025515198708,0.013686025515198708,0.046153846153846156,126.4756088256836,0.0,0.016099169850349426
0,0.2,2,the person is holding his right arm up.,0.006006686948239803,0.006006686948239803,0.0,47.778541564941406,0.0,0.009778289124369621
0,0.2,3,standing in place then walking forward.,0.018631329759955406,0.018631329759955406,0.015384615384615385,89.43826293945312,0.0,0.023256510496139526
0,0.2,4,the person was jogging in place.,0.0292267557233572,0.0292267557233572,0.035897435897435895,204.9387969970703,4.676778644352453e-06,0.04250163584947586
0,0.2,5,user is pointing with left hand in multiple directions,0.009786085225641727,0.009786085225641727,0.0,65.95873260498047,0.0,0.015418521128594875
0,0.2,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.012213175185024738,0.012213175185024738,0.0,56.19183349609375,0.0022310453932732344,0.014929777011275291
0,0.2,7,a man is doing jumping jacks.,0.03758350759744644,0.03758350759744644,0.015384615384615385,216.60317993164062,0.0,0.05105886980891228
0,0.2,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.05551827698945999,0.05551827698945999,0.2,253.038330078125,0.0,0.0738811120390892
0,0.2,9,"a person slowly walked backward, and sat on the knee and hands",0.03626520559191704,0.03626520559191704,0.046153846153846156,132.98922729492188,0.0016880992334336042,0.05069071054458618
0,0.2,10,a person walks straight going slightly to the left,0.02092064544558525,0.02092064544558525,0.09743589743589744,114.87215423583984,0.0,0.028525428846478462
0,0.2,11,he runs forward directly then stops,0.1601749062538147,0.1601749062538147,0.1794871794871795,515.4176635742188,0.0,0.2048334777355194
0,0.2,12,person seems to be exercising by bending at the knees and walking forward,0.07357890158891678,0.07357890158891678,0.47692307692307695,469.8570251464844,4.463228469830938e-05,0.10718236863613129
0,0.2,13,the man dances his feet in circles in front of himself.,0.20866432785987854,0.20866432785987854,0.7948717948717948,705.9759521484375,0.00019248320313636214,0.266603946685791
0,0.2,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.010258452035486698,0.010258452035486698,0.0,66.06703186035156,1.912710467877332e-05,0.013699901290237904
0,0.2,15,a man takes a big swing with his arm.,0.058207884430885315,0.058207884430885315,0.38461538461538464,461.6337585449219,3.8574926293222234e-05,0.08131905645132065
0,0.05,0,a person wlowly walked by making the circle,0.1404985934495926,0.1404985934495926,0.18461538461538463,272.7788391113281,0.0,0.15385039150714874
0,0.05,1,a person walks straight forward quickly,0.016741320490837097,0.016741320490837097,0.046153846153846156,137.03053283691406,0.0,0.016043147072196007
0,0.05,2,the person is holding his right arm up.,0.008199740201234818,0.008199740201234818,0.0,44.69852066040039,0.0,0.011819063685834408
0,0.05,3,standing in place then walking forward.,0.021843431517481804,0.021843431517481804,0.010256410256410256,94.89613342285156,0.0,0.024268493056297302
0,0.05,4,the person was jogging in place.,0.038499657064676285,0.038499657064676285,0.015384615384615385,189.49583435058594,1.0158448276342824e-05,0.04599681869149208
0,0.05,5,user is pointing with left hand in multiple directions,0.011894884519279003,0.011894884519279003,0.0,62.53972244262695,0.0,0.015130489133298397
0,0.05,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.014012928120791912,0.014012928120791912,0.0,46.958831787109375,0.002195723121985793,0.014534492045640945
0,0.05,7,a man is doing jumping jacks.,0.04924160614609718,0.04924160614609718,0.02564102564102564,192.951904296875,0.0,0.05743732303380966
0,0.05,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.06789233535528183,0.06789233535528183,0.17435897435897435,210.27374267578125,0.0,0.07768390327692032
0,0.05,9,"a person slowly walked backward, and sat on the knee and hands",0.040306445211172104,0.040306445211172104,0.03076923076923077,102.87982177734375,0.0017097367672249675,0.04888831824064255
0,0.05,10,a person walks straight going slightly to the left,0.0238090381026268,0.0238090381026268,0.09743589743589744,90.10457611083984,0.0,0.028148265555500984
0,0.05,11,he runs forward directly then stops,0.18317072093486786,0.18317072093486786,0.11794871794871795,353.01873779296875,0.0,0.2020503729581833
0,0.05,12,person seems to be exercising by bending at the knees and walking forward,0.08670467883348465,0.08670467883348465,0.46153846153846156,429.90130615234375,5.2720613894052804e-05,0.10575138032436371
0,0.05,13,the man dances his feet in circles in front of himself.,0.22379328310489655,0.22379328310489655,0.7384615384615385,541.282958984375,9.145093827100936e-06,0.24587687849998474
0,0.05,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.01263509038835764,0.01263509038835764,0.0,57.50259780883789,3.22434316331055e-05,0.014273249544203281
0,0.05,15,a man takes a big swing with his arm.,0.06618066132068634,0.06618066132068634,0.35384615384615387,417.013671875,2.8726321033900604e-05,0.08109644055366516
0,0.0,0,a person wlowly walked by making the circle,0.1551823765039444,0.1551823765039444,0.1641025641025641,251.2238006591797,0.0,0.16149714589118958
0,0.0,1,a person walks straight forward quickly,0.014337792992591858,0.014337792992591858,0.041025641025641026,131.04940795898438,0.0,0.014227479696273804
0,0.0,2,the person is holding his right arm up.,0.007480950094759464,0.007480950094759464,0.0,41.690826416015625,0.0,0.010195296257734299
0,0.0,3,standing in place then walking forward.,0.02068641223013401,0.02068641223013401,0.010256410256410256,86.00048828125,0.0,0.022020313888788223
0,0.0,4,the person was jogging in place.,0.03796098008751869,0.03796098008751869,0.015384615384615385,191.73062133789062,0.0,0.044747065752744675
0,0.0,5,user is pointing with left hand in multiple directions,0.01287180744111538,0.01287180744111538,0.0,62.80488967895508,0.0,0.016029393300414085
0,0.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.014098206534981728,0.014098206534981728,0.0,48.45316696166992,0.0022170005831867456,0.01407916285097599
0,0.0,7,a man is doing jumping jacks.,0.05824656039476395,0.05824656039476395,0.03076923076923077,200.12896728515625,0.0,0.06259841471910477
0,0.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.06237252801656723,0.06237252801656723,0.14358974358974358,208.73440551757812,0.0,0.06732381880283356
0,0.0,9,"a person slowly walked backward, and sat on the knee and hands",0.045964326709508896,0.045964326709508896,0.03076923076923077,98.51709747314453,0.0015692543238401413,0.051980189979076385
0,0.0,10,a person walks straight going slightly to the left,0.025144413113594055,0.025144413113594055,0.08717948717948718,89.95397186279297,0.0,0.028355104848742485
0,0.0,11,he runs forward directly then stops,0.1914396435022354,0.1914396435022354,0.10256410256410256,290.8580322265625,0.0,0.2009638547897339
0,0.0,12,person seems to be exercising by bending at the knees and walking forward,0.09519217908382416,0.09519217908382416,0.49230769230769234,393.8105163574219,1.570531094330363e-05,0.11218423396348953
