seed,mode,trans_length,obs_joints,perturb_joints,theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref,kf_err_obs,kf_err_obs_clean,jerk_upper,jerk_lower,div_upper,div_lower,div_hit,div_spared,jerk_spared,div_free
0,independent,5,all,all,0,1.0,0,a person wlowly walked by making the circle,1.2323620346421649e-08,1.2323620346421649e-08,0.4256410256410256,1454.708740234375,0.0,0.0949447974562645,1.2323620346421649e-08,1.2323620346421649e-08,1464.173095703125,1441.0380859375,0.09305546432733536,0.09767386317253113,0.09550341218709946,0.08321405202150345,1423.00634765625,nan
0,independent,5,all,all,0,1.0,1,a person walks straight forward quickly,5.475337197524688e-11,5.475337197524688e-11,0.05128205128205128,274.6599426269531,0.0,0.014823175966739655,5.475337197524688e-11,5.475337197524688e-11,272.2820129394531,278.0946960449219,0.014995641075074673,0.01457405835390091,0.014844441786408424,0.014376567676663399,270.9384765625,nan
0,independent,5,all,all,0,1.0,2,the person is holding his right arm up.,8.384762884006136e-10,8.384762884006136e-10,0.0,136.5789794921875,0.0,0.008334871381521225,8.384762884006136e-10,8.384762884006136e-10,135.34280395507812,138.36460876464844,0.008785535581409931,0.007683912292122841,0.008371476083993912,0.0075661721639335155,133.62574768066406,nan
0,independent,5,all,all,0,1.0,3,standing in place then walking forward.,7.51407963628381e-11,7.51407963628381e-11,0.015384615384615385,217.21978759765625,0.0,0.011153077706694603,7.51407963628381e-11,7.51407963628381e-11,214.80560302734375,220.70697021484375,0.011135316453874111,0.011178730055689812,0.011165376752614975,0.010894783772528172,215.90756225585938,nan
0,independent,5,all,all,0,1.0,4,the person was jogging in place.,2.0375988396548195e-10,2.0375988396548195e-10,0.07692307692307693,410.0998840332031,0.0,0.02130305953323841,2.0375988396548195e-10,2.0375988396548195e-10,410.8345031738281,409.038818359375,0.021270332857966423,0.021350327879190445,0.0213321540504694,0.020692065358161926,402.1665344238281,nan
0,independent,5,all,all,0,1.0,5,user is pointing with left hand in multiple directions,3.8105135713450977e-10,3.8105135713450977e-10,0.0,211.66905212402344,0.0,0.01315609272569418,3.8105135713450977e-10,3.8105135713450977e-10,212.48114013671875,210.49607849121094,0.01335086114704609,0.01287475973367691,0.013197854161262512,0.012279100716114044,209.86825561523438,nan
0,independent,5,all,all,0,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,5.388672841277753e-10,5.388672841277753e-10,0.0,289.69439697265625,0.0019001810578629375,0.018637455999851227,5.388672841277753e-10,5.388672841277753e-10,291.1377258300781,287.6095275878906,0.01903614215552807,0.018061580136418343,0.018676895648241043,0.017809242010116577,292.42938232421875,nan
0,independent,5,all,all,0,1.0,7,a man is doing jumping jacks.,3.2913785585897415e-10,3.2913785585897415e-10,0.07179487179487179,399.333251953125,0.0,0.020813697949051857,3.2913785585897415e-10,3.2913785585897415e-10,403.6500549316406,393.097900390625,0.02143303118646145,0.019919103011488914,0.02089226059615612,0.019163846969604492,380.5038757324219,nan
0,independent,5,all,all,0,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,1.2373328139858586e-08,1.2373328139858586e-08,0.29743589743589743,657.9882202148438,0.0,0.04232310131192207,1.2373328139858586e-08,1.2373328139858586e-08,652.9682006835938,665.2392578125,0.04197416082024574,0.042827121913433075,0.0426299124956131,0.03587997332215309,636.3116455078125,nan
0,independent,5,all,all,0,1.0,9,"a person slowly walked backward, and sat on the knee and hands",2.68303423922589e-09,2.68303423922589e-09,0.17435897435897435,428.9089050292969,0.0025727292522788048,0.02665320225059986,2.68303423922589e-09,2.68303423922589e-09,437.73779296875,416.1561279296875,0.025989951565861702,0.02761123701930046,0.026743030175566673,0.024766840040683746,423.4775390625,nan
