seed,mode,theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref
0,coherent,0,1.0,0,a person wlowly walked by making the circle,1.2125183523892247e-08,1.2125183523892247e-08,0.3230769230769231,1145.5986328125,0.0,0.14092087745666504
0,coherent,0,1.0,1,a person walks straight forward quickly,7.66987931499763e-11,7.66987931499763e-11,0.046153846153846156,183.18392944335938,0.0,0.015475570224225521
0,coherent,0,1.0,2,the person is holding his right arm up.,8.552062391586901e-10,8.552062391586901e-10,0.0,80.43815612792969,0.0,0.00961911678314209
0,coherent,0,1.0,3,standing in place then walking forward.,5.185773338522992e-11,5.185773338522992e-11,0.015384615384615385,169.5377655029297,0.0,0.020181281492114067
0,coherent,0,1.0,4,the person was jogging in place.,1.8209737884244959e-10,1.8209737884244959e-10,0.12307692307692308,413.4149475097656,5.438125754153589e-06,0.04612850397825241
0,coherent,0,1.0,5,user is pointing with left hand in multiple directions,3.097883616298702e-10,3.097883616298702e-10,0.0,118.16080474853516,0.0,0.013795803301036358
0,coherent,0,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,6.533147911547132e-10,6.533147911547132e-10,0.0,128.03231811523438,0.0022360216826200485,0.01353680994361639
0,coherent,0,1.0,7,a man is doing jumping jacks.,4.1168690678716757e-10,4.1168690678716757e-10,0.11282051282051282,449.9596252441406,0.0,0.05013446882367134
0,coherent,0,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,1.235166458002368e-08,1.235166458002368e-08,0.2564102564102564,605.8251953125,0.0,0.07046259939670563
0,coherent,0,1.0,9,"a person slowly walked backward, and sat on the knee and hands",2.654588326933549e-09,2.654588326933549e-09,0.14358974358974358,342.43426513671875,0.0018087768694385886,0.04463006183505058
0,coherent,0,1.0,10,a person walks straight going slightly to the left,3.8311223637954583e-10,3.8311223637954583e-10,0.1641025641025641,217.30990600585938,1.3502979527402204e-05,0.02336639165878296
0,coherent,0,1.0,11,he runs forward directly then stops,5.079941328700599e-11,5.079941328700599e-11,0.2717948717948718,1537.447265625,0.0,0.18674086034297943
0,coherent,0,1.0,12,person seems to be exercising by bending at the knees and walking forward,5.67260127759539e-10,5.67260127759539e-10,0.5641025641025641,887.6397705078125,7.219692633952945e-05,0.10105879604816437
0,coherent,0,1.0,13,the man dances his feet in circles in front of himself.,1.76519199257541e-09,1.76519199257541e-09,0.7538461538461538,1760.099609375,0.0002845539420377463,0.21998251974582672
0,coherent,0,1.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,5.497503008378146e-10,5.497503008378146e-10,0.0,128.08604431152344,2.7697969926521182e-05,0.012881739996373653
0,coherent,0,1.0,15,a man takes a big swing with his arm.,2.530861076266433e-09,2.530861076266433e-09,0.49743589743589745,837.7376708984375,0.00021834416838828474,0.08715059608221054
0,coherent,0,0.0,0,a person wlowly walked by making the circle,0.1488855481147766,0.1488855481147766,0.1641025641025641,244.82872009277344,0.0,0.15541188418865204
0,coherent,0,0.0,1,a person walks straight forward quickly,0.01872364804148674,0.01872364804148674,0.05128205128205128,114.47933197021484,0.0,0.017828980460762978
0,coherent,0,0.0,2,the person is holding his right arm up.,0.008340379223227501,0.008340379223227501,0.0,44.4223747253418,0.0,0.01145670935511589
0,coherent,0,0.0,3,standing in place then walking forward.,0.021278783679008484,0.021278783679008484,0.010256410256410256,92.95030212402344,0.0,0.02171516604721546
0,coherent,0,0.0,4,the person was jogging in place.,0.03972490131855011,0.03972490131855011,0.02564102564102564,187.70150756835938,3.188930350006558e-05,0.04647679999470711
0,coherent,0,0.0,5,user is pointing with left hand in multiple directions,0.0129419369623065,0.0129419369623065,0.0,59.60109329223633,0.0,0.015780501067638397
0,coherent,0,0.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.014337548986077309,0.014337548986077309,0.0,46.78819274902344,0.0022482157219201326,0.014307180419564247
0,coherent,0,0.0,7,a man is doing jumping jacks.,0.053298499435186386,0.053298499435186386,0.010256410256410256,187.5130615234375,0.0,0.05757254734635353
0,coherent,0,0.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.07215438038110733,0.07215438038110733,0.15897435897435896,213.95123291015625,0.0,0.07787667959928513
0,coherent,0,0.0,9,"a person slowly walked backward, and sat on the knee and hands",0.04469010978937149,0.04469010978937149,0.05641025641025641,97.55299377441406,0.0015712257008999586,0.05088011920452118
0,coherent,0,0.0,10,a person walks straight going slightly to the left,0.026211827993392944,0.026211827993392944,0.09230769230769231,86.11449432373047,0.0,0.029301144182682037
0,coherent,0,0.0,11,he runs forward directly then stops,0.20688389241695404,0.20688389241695404,0.1076923076923077,315.6806640625,0.0,0.2165263146162033
0,coherent,0,0.0,12,person seems to be exercising by bending at the knees and walking forward,0.10392600297927856,0.10392600297927856,0.4358974358974359,398.9416198730469,0.00011209100193809718,0.11984724551439285
0,coherent,0,0.0,13,the man dances his feet in circles in front of himself.,0.2678050398826599,0.2678050398826599,0.7076923076923077,579.2068481445312,0.00021596091391984373,0.2806137502193451
0,coherent,0,0.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.012839523144066334,0.012839523144066334,0.0,56.43135452270508,3.5172823118045926e-05,0.013954968191683292
0,coherent,0,0.0,15,a man takes a big swing with his arm.,0.07940945774316788,0.07940945774316788,0.37435897435897436,417.59454345703125,4.040811109007336e-05,0.08975823223590851
0,coherent,5,1.0,0,a person wlowly walked by making the circle,1.2840373209144218e-08,0.03623508661985397,0.3128205128205128,1152.8509521484375,0.00012086780043318868,0.14965812861919403
0,coherent,5,1.0,1,a person walks straight forward quickly,2.2688782796986828e-10,0.03423943370580673,0.041025641025641026,217.07437133789062,0.0,0.03703416511416435
0,coherent,5,1.0,2,the person is holding his right arm up.,1.0727837507218396e-09,0.050614722073078156,0.0,158.67271423339844,0.0,0.044192418456077576
0,coherent,5,1.0,3,standing in place then walking forward.,5.045596718211698e-10,0.051527176052331924,0.03076923076923077,215.33377075195312,8.404899563174695e-05,0.05026400834321976
0,coherent,5,1.0,4,the person was jogging in place.,2.3283064365386963e-10,0.03304549679160118,0.09230769230769231,410.58197021484375,0.0,0.056064214557409286
0,coherent,5,1.0,5,user is pointing with left hand in multiple directions,5.062676944334044e-10,0.048765137791633606,0.005128205128205128,222.1919708251953,0.0,0.05042676255106926
0,coherent,5,1.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,6.971943578015782e-10,0.0370284803211689,0.0,242.5706024169922,0.00036334816832095385,0.04188598319888115
0,coherent,5,1.0,7,a man is doing jumping jacks.,3.0267982564780027e-10,0.03423144668340683,0.1076923076923077,473.4720153808594,0.0,0.06082868203520775
0,coherent,5,1.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,1.2391880410689282e-08,0.04099815711379051,0.30256410256410254,649.0258178710938,0.000144080157042481,0.07975026965141296
0,coherent,5,1.0,9,"a person slowly walked backward, and sat on the knee and hands",2.6602819946930367e-09,0.03247202932834625,0.14871794871794872,387.76531982421875,0.0004882026696577668,0.05531434714794159
0,coherent,5,1.0,10,a person walks straight going slightly to the left,5.959241988762187e-10,0.04679069668054581,0.15897435897435896,326.6766357421875,0.0001433274446753785,0.05858245864510536
0,coherent,5,1.0,11,he runs forward directly then stops,3.0479646584424813e-10,0.047484301030635834,0.23076923076923078,1524.8277587890625,0.0,0.20153427124023438
0,coherent,5,1.0,12,person seems to be exercising by bending at the knees and walking forward,2.285973632609739e-10,0.037604209035634995,0.5692307692307692,897.373779296875,0.00033437710953876376,0.10694374144077301
0,coherent,5,1.0,13,the man dances his feet in circles in front of himself.,1.884580269617686e-09,0.044074855744838715,0.7692307692307693,2211.810546875,0.0004812678962480277,0.28755447268486023
0,coherent,5,1.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,9.093119035519237e-10,0.03702133521437645,0.0,170.2014617919922,0.0,0.03674644976854324
0,coherent,5,1.0,15,a man takes a big swing with his arm.,2.4366677564557904e-09,0.051696985960006714,0.4717948717948718,858.2000122070312,0.00019003382476512343,0.10076843947172165
0,coherent,5,0.0,0,a person wlowly walked by making the circle,0.14369098842144012,0.15664903819561005,0.11794871794871795,259.140380859375,0.00011500248365337029,0.16120904684066772
0,coherent,5,0.0,1,a person walks straight forward quickly,0.02606995962560177,0.0378175787627697,0.03076923076923077,137.2062530517578,0.0,0.03710392490029335
0,coherent,5,0.0,2,the person is holding his right arm up.,0.02249153144657612,0.04376765340566635,0.0,45.41913604736328,0.0,0.04438837990164757
0,coherent,5,0.0,3,standing in place then walking forward.,0.02722274139523506,0.04928014054894447,0.020512820512820513,109.96243286132812,0.0,0.048798818141222
0,coherent,5,0.0,4,the person was jogging in place.,0.04579862952232361,0.055146217346191406,0.0,190.39332580566406,0.0,0.05984491482377052
0,coherent,5,0.0,5,user is pointing with left hand in multiple directions,0.026248684152960777,0.048838987946510315,0.0,67.38080596923828,0.0,0.049683261662721634
0,coherent,5,0.0,6,person brings left forearm up to their eyesight like they are checking the time on a watch.,0.032063715159893036,0.04209885001182556,0.0,47.57286834716797,8.013973456399981e-06,0.04208223521709442
0,coherent,5,0.0,7,a man is doing jumping jacks.,0.05706697702407837,0.06539629399776459,0.02564102564102564,200.71412658691406,0.0,0.06838663667440414
0,coherent,5,0.0,8,the figure takes a few steps forward before pick something up turning around and walking back to where they were and crouching down to pick something up.,0.08323091268539429,0.08103202283382416,0.18974358974358974,197.57290649414062,0.00010924592788796872,0.08887022733688354
0,coherent,5,0.0,9,"a person slowly walked backward, and sat on the knee and hands",0.048122838139534,0.04968464747071266,0.0,109.0737533569336,0.00027815019711852074,0.05555349215865135
0,coherent,5,0.0,10,a person walks straight going slightly to the left,0.03392406925559044,0.057486776262521744,0.07692307692307693,130.08657836914062,0.00020949878671672195,0.05925926938652992
0,coherent,5,0.0,11,he runs forward directly then stops,0.19027774035930634,0.2080157846212387,0.1076923076923077,323.9669189453125,0.0,0.2140326350927353
0,coherent,5,0.0,12,person seems to be exercising by bending at the knees and walking forward,0.09019707888364792,0.09005755186080933,0.4666666666666667,400.2210388183594,0.00016217463416978717,0.10345658659934998
0,coherent,5,0.0,13,the man dances his feet in circles in front of himself.,0.2687091529369354,0.27420374751091003,0.7692307692307693,585.6693115234375,0.00018104794435203075,0.28492802381515503
0,coherent,5,0.0,14,a person brings their left arm up and bends their elbow so it is across their stomach.,0.02146189659833908,0.03594081848859787,0.0,58.30868148803711,0.0,0.03669862449169159
0,coherent,5,0.0,15,a man takes a big swing with his arm.,0.07977484911680222,0.093391053378582,0.3487179487179487,424.04791259765625,3.086695869569667e-05,0.10204103589057922
0,coherent,10,1.0,0,a person wlowly walked by making the circle,1.2851995023765994e-08,0.09405890107154846,0.4,1074.1279296875,0.0001825657527660951,0.16507995128631592
0,coherent,10,1.0,1,a person walks straight forward quickly,6.065234980923151e-10,0.09553402662277222,0.1794871794871795,395.842529296875,0.0006084382184781134,0.07376140356063843
0,coherent,10,1.0,2,the person is holding his right arm up.,1.0320383436734915e-09,0.10902971774339676,0.10256410256410256,344.016357421875,0.0013901973143219948,0.10584428161382675
0,coherent,10,1.0,3,standing in place then walking forward.,1.467043708736071e-09,0.10450342297554016,0.18974358974358974,491.2759704589844,0.0,0.12959766387939453
