theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref
0,1.0,0,a person wlowly walked by making the circle,1.0608220968322257e-09,1.0608220968322257e-09,0.3641025641025641,926.5946655273438,3.45303415087983e-05,0.11007598042488098
0,1.0,1,a person walks straight forward quickly,4.773398742941026e-08,4.773398742941026e-08,0.06153846153846154,166.96749877929688,0.0,0.01642448455095291
0,1.0,2,the person is holding his right arm up.,8.961146269470532e-10,8.961146269470532e-10,0.0,85.1723861694336,0.0,0.008600595407187939
0,1.0,3,standing in place then walking forward.,6.773254873637669e-11,6.773254873637669e-11,0.041025641025641026,212.31935119628906,0.0,0.02323969081044197
0,0.5,0,a person wlowly walked by making the circle,0.06506218761205673,0.06506218761205673,0.3384615384615385,612.5146484375,2.5942617867258377e-05,0.12696164846420288
0,0.5,1,a person walks straight forward quickly,0.007552789058536291,0.007552789058536291,0.06666666666666667,128.76101684570312,0.0,0.015884269028902054
0,0.5,2,the person is holding his right arm up.,0.00443093990907073,0.00443093990907073,0.0,62.43730926513672,0.0,0.008341727778315544
0,0.5,3,standing in place then walking forward.,0.010807272978127003,0.010807272978127003,0.041025641025641026,142.16482543945312,0.0,0.0222272090613842
0,0.2,0,a person wlowly walked by making the circle,0.09418965876102448,0.09418965876102448,0.29743589743589743,371.0382080078125,2.5183646357618272e-05,0.1165788471698761
0,0.2,1,a person walks straight forward quickly,0.011926332488656044,0.011926332488656044,0.07692307692307693,120.17363739013672,0.0,0.015866074711084366
0,0.2,2,the person is holding his right arm up.,0.006389288697391748,0.006389288697391748,0.0,52.77393341064453,0.0,0.00787606555968523
0,0.2,3,standing in place then walking forward.,0.017156491056084633,0.017156491056084633,0.03076923076923077,114.22786712646484,0.0,0.022784247994422913
0,0.05,0,a person wlowly walked by making the circle,0.11219197511672974,0.11219197511672974,0.26666666666666666,299.463623046875,2.783892341540195e-05,0.11868372559547424
